Title,Price,Image_URL,Product_URL
"Yuy Xua: Yettinchi kun","89000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69ad230e9aa5c.jpg.webp","https://asaxiy.uz/uz/product/yuy-hua-ettinchi-kun"
"Josim al Umron: Fotimaning bolasi","55000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69787c9d4232a.jpg","https://asaxiy.uz/uz/product/josim-al-umron-fotimaning-bolasi"
"Mark Menson: Beparvolikning nozik san’ati (qattiq muqova)","59000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/68c6c0996b7fc.webp","https://asaxiy.uz/uz/product/mark-menson-beparvolikning-nozik-sanati-qattiq"
"Fyodor Dostoyevskiy: Jinoyat va jazo (Ilm-ziyo-zakovat)","55000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/62b3f6d904359.jpg.webp","https://asaxiy.uz/uz/product/fedor-dostoevskii-zhinoyat-va-zhazo-ilm-zie-zakovat"
"Tara Vestover: Talaba (Qattiq muqova)","80000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/69008e00122a1.png","https://asaxiy.uz/uz/product/tara-vestover-talaba"
"Sanjar Xo‘ja: Qadam","55000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/68272aaf8ebbf.jpg","https://asaxiy.uz/uz/product/sanzhar-huzha-adam-lotin-kirill"
"Birgalikda arzon! Farovonlik kaliti: Davlat va iqtisodiyotni tushunish uchun 3ta zarur kitob.","199000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/68047d057ef7f.jpeg.webp","https://asaxiy.uz/uz/product/birgalikda-arzon-siyosiy-iqtisodiy-mavzudagi-3-muhim-kitob"
"O‘tkir Hoshimov: Ikki eshik orasi (Nurli dunyo)","25000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/63d0f47278f4d.jpg.webp","https://asaxiy.uz/uz/product/utkir-hoshimov-ikki-eshik-orasi-nurli-dunyo-yumshoq-muqova"
"Jon Brijes  Key Vest  Brayan Kertis: Yosh xonim uchun odobnoma. Har bir qiz bilishi lozim bo'lgan 50 qoida to'plami (yumshoq)","55000","https://cdn.asaxiy.uz/asaxiy-content/product/main_image/desktop/67d4030c577f6.jpg.webp","https://asaxiy.uz/uz/product/zhon-brizhes-kei-vest-brayan-kertis-esh-honim-uchun-odobnoma-barcha-kiz-bilishi-lozim-bulgan-50-koida-tuplami"
"Paulo Koelo: Alkimyogar","25000","https://assets.asaxiy.uz/product/main_image/desktop/693aab1239dbe.png","https://asaxiy.uz/uz/product/paulo-koelo-alkimyogar-ozbekiston-nmiu"
